Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,Hour,SunRise,SunSet,MomentOfDay,fortnight,month,Rad
Cold,High,Low,S,Normal,23,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,High,Low,S,Slow,23,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,High,Low,S,Slow,23,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,High,Low,S,Slow,23,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,High,Normal,E,Normal,23,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,High,Normal,E,Normal,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,Normal,E,Normal,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,Normal,E,Normal,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,Normal,E,Slow,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,Normal,S,Slow,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,E,Slow,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Slow,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Normal,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Slow,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Normal,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,E,Slow,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,E,Fast,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Normal,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,E,Normal,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,E,Normal,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Slow,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Normal,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Slow,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Normal,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Normal,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Normal,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,E,Normal,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Normal,21,0-20,0-20,Night,fortnight 2,Sep,Low
